id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
hardware_nut_m3,nu3,Hardware Nut M3,nut,,,1771000,https://www.orbitalfasteners.co.uk/products/m3-mild-steel-hexagon-full-nuts-bright-zinc-plated,Z0322M39,https://www.harclob2b.com/m3-din934-gr-8-din267-full-nut-zinc-plated-boxed-z0322m39,0.0038,M3 DIN934 Gr.8 DIN267 Full Nut Zinc Plated Boxed
hardware_screw_socket_cap_m3_black_30_mm_length_hex_head,sc3b30h,Hardware Screw Socket Cap M3 Black 30 mm Length Hex Head,screw_socket_cap,30_mm_length,,1891054,https://www.orbitalfasteners.co.uk/products/m3-x-30-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390030,https://www.harclob2b.com/m3-x-30-socket-cap-screw-gr12-9-self-colour-din-91-1150m390030,0.031,M3 x 30 Socket Cap Screw Gr12.9 Self Colour DIN 912 150
hardware_screw_socket_cap_m3_black_35_mm_length_hex_head,sc3b35h,Hardware Screw Socket Cap M3 Black 35 mm Length Hex Head,screw_socket_cap,35_mm_length,,1891056,https://www.orbitalfasteners.co.uk/products/m3-x-35-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390035,https://www.harclob2b.com/m3-x-35-socket-cap-screw-gr12-9-self-colour-din-91-1150m390035,0.0336,M3 x 35 Socket Cap Screw Gr12.9 Self Colour DIN 912 150
robot_vacuum_part_robot_vacuum_roomba_500_series_motor_wheel_left_side,,Robot Vacuum Part Robot Vacuum Roomba 500 Series Motor Wheel Left Side,part,wheel,,,,,,,
robot_vacuum_part_robot_vacuum_roomba_500_series_motor_wheel_right_side,,Robot Vacuum Part Robot Vacuum Roomba 500 Series Motor Wheel Right Side,part,wheel,,,,,,,
